"taxon" "map" "trap" "dist"
"1" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/Z80" 2681993
"2" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/S3" 2642917
"3" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/S2" 2642917
"4" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/S1" 2642917
"5" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/EP/L2" 4829054
"6" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/EP/L1" 4844935
"7" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/EP/L3" 4894397
"8" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/B65" 1870365
"9" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/U16" 1772646
"10" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/Ke8" 1751092
"11" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/F5" 1743899
"12" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/M24" 1583626
"13" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/N27" 1661143
"14" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/J12" 1625064
"15" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/Kil11" 1616701
"16" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/SK2" 1648599
"17" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/SK1" 1648599
"18" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/R2" 1596271
"19" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/R1" 1596271
"20" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/PE2" 1595491
"21" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/PE1" 1595491
"22" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/J4" 1597184
"23" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/J3" 1597184
"24" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/PW4" 1595477
"25" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/PW2" 1595477
"26" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/PW1" 1595477
"27" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/J2" 1596542
"28" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/J1" 1596542
"29" "Abies" "nearestAbies_alba_EUFORGEN" "N/KDV/FH-V" 1594035
"30" "Abies" "nearestAbies_alba_EUFORGEN" "N/KDV/DBH-IV" 1594339
"31" "Abies" "nearestAbies_alba_EUFORGEN" "N/KDV/CH-III" 1594617
"32" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/CHIIIB" 1594617
"33" "Abies" "nearestAbies_alba_EUFORGEN" "N/KDV/FH-VI" 1593844
"34" "Abies" "nearestAbies_alba_EUFORGEN" "N/KDV/BH-II" 1594866
"35" "Abies" "nearestAbies_alba_EUFORGEN" "N/KDV/AH-I" 1594637
"36" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/KHVIIA" 1600684
"37" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/KHVII" 1600684
"38" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/ÄR3" 1641331
"39" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/ÄR4" 1641494
"40" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/ÄR1" 1641186
"41" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/ÄR2" 1641358
"42" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/FO2" 1590189
"43" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/FO1" 1590009
"44" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/TR2" 1607902
"45" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/TR1" 1607887
"46" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/BA2" 1612511
"47" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/BA1" 1612511
"48" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/HA2" 1553762
"49" "Abies" "nearestAbies_alba_EUFORGEN" "N/CJ/HA1" 1553708
"50" "Abies" "nearestAbies_alba_EUFORGEN" "S/LB/STN" 1531710
"51" "Abies" "nearestAbies_alba_EUFORGEN" "S/LB/Bad" 1531710
"52" "Abies" "nearestAbies_alba_EUFORGEN" "S/LB/NJ" 1542746
"53" "Abies" "nearestAbies_alba_EUFORGEN" "S/LB/Tib" 1531595
"54" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/T72" 1488153
"55" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/T70" 1488153
"56" "Abies" "nearestAbies_alba_EUFORGEN" "IS/MH/03" 1884121
"57" "Abies" "nearestAbies_alba_EUFORGEN" "IS/MH/02" 1884043
"58" "Abies" "nearestAbies_alba_EUFORGEN" "IS/MH/01" 1883986
"59" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/P9" 1704111
"60" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/F4" 1688585
"61" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/N7" 1678675
"62" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/S22" 1650870
"63" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/F3" 1627708
"64" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/KU46" 1603221
"65" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/P23" 1529650
"66" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/S21" 1535024
"67" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/F2" 1496850
"68" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/A60" 1501654
"69" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/A61" 1501310
"70" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/A62" 1500704
"71" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/A63" 1500372
"72" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/S57" 1528446
"73" "Abies" "nearestAbies_alba_EUFORGEN" "S/MH/2A" 1347461
"74" "Abies" "nearestAbies_alba_EUFORGEN" "S/MH/3A" 1463487
"75" "Abies" "nearestAbies_alba_EUFORGEN" "S/MH/4A" 1463196
"76" "Abies" "nearestAbies_alba_EUFORGEN" "S/MH/4B" 1463196
"77" "Abies" "nearestAbies_alba_EUFORGEN" "S/MH/5A" 1472440
"78" "Abies" "nearestAbies_alba_EUFORGEN" "S/MH/5B" 1472440
"79" "Abies" "nearestAbies_alba_EUFORGEN" "S/MH/6A" 1537976
"80" "Abies" "nearestAbies_alba_EUFORGEN" "S/MH/6B" 1537976
"81" "Abies" "nearestAbies_alba_EUFORGEN" "S/MH/7A" 1557571
"82" "Abies" "nearestAbies_alba_EUFORGEN" "S/MH/7B" 1557571
"83" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/A5" 1404863
"84" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/O25" 1448929
"85" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/O4" 1448929
"86" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/O3" 1448929
"87" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/R20" 1417142
"88" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/H28" 1221248
"89" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/K33" 1223167
"90" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/H17" 1223057
"91" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/H18" 1221340
"92" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/HKH45" 1220584
"93" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/HKH46" 1220545
"94" "Abies" "nearestAbies_alba_EUFORGEN" "FIN/SPH/H31" 1219143
"95" "Abies" "nearestAbies_alba_EUFORGEN" "S/MH/2B" 1347461
"96" "Abies" "nearestAbies_alba_EUFORGEN" "S/MH/1B" 1314408
"97" "Abies" "nearestAbies_alba_EUFORGEN" "S/MH/1A" 1314408
"98" "Abies" "nearestAbies_alba_EUFORGEN" "S/TG/AT" 1049935
"99" "Abies" "nearestAbies_alba_EUFORGEN" "S/TG/AS" 1049935
"100" "Abies" "nearestAbies_alba_EUFORGEN" "S/TG/TT" 880973
"101" "Abies" "nearestAbies_alba_EUFORGEN" "S/TG/TS" 880973
"102" "Abies" "nearestAbies_alba_EUFORGEN" "S/TG/STT" 870917
"103" "Abies" "nearestAbies_alba_EUFORGEN" "S/TG/STS" 870917
"104" "Abies" "nearestAbies_alba_EUFORGEN" "S/TG/RT" 878946
"105" "Abies" "nearestAbies_alba_EUFORGEN" "S/TG/RS" 878946
"106" "Abies" "nearestAbies_alba_EUFORGEN" "S/TG/KTN2" 814938
"107" "Abies" "nearestAbies_alba_EUFORGEN" "S/TG/KT" 814755
"108" "Abies" "nearestAbies_alba_EUFORGEN" "S/TG/KS2" 814755
"109" "Abies" "nearestAbies_alba_EUFORGEN" "S/TG/KS1" 814755
"110" "Abies" "nearestAbies_alba_EUFORGEN" "S/TG/KTN1" 814673
"111" "Abies" "nearestAbies_alba_EUFORGEN" "S/TG/SVT" 717427
"112" "Abies" "nearestAbies_alba_EUFORGEN" "S/TG/SVS" 717427
"113" "Abies" "nearestAbies_alba_EUFORGEN" "S/TG/HT" 703923
"114" "Abies" "nearestAbies_alba_EUFORGEN" "S/TG/HS2" 703923
"115" "Abies" "nearestAbies_alba_EUFORGEN" "S/TG/HS1" 703923
"116" "Abies" "nearestAbies_alba_EUFORGEN" "S/TG/HTN" 703845
"117" "Abies" "nearestAbies_alba_EUFORGEN" "EST/TK/MIT" 638580
"118" "Abies" "nearestAbies_alba_EUFORGEN" "EST/TK/MIF" 638580
"119" "Abies" "nearestAbies_alba_EUFORGEN" "EST/TK/MIO" 632101
"120" "Abies" "nearestAbies_alba_EUFORGEN" "LV/LK/SE2" 593271
"121" "Abies" "nearestAbies_alba_EUFORGEN" "LV/LK/SE1" 592900
"122" "Abies" "nearestAbies_alba_EUFORGEN" "LV/LK/TEI1" 498451
"123" "Abies" "nearestAbies_alba_EUFORGEN" "LV/LK/RU1" 263489
"124" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/PL8" 676555
"125" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/PL7" 677113
