"sp" "pipa.1.15." "mnk" "V4" "V5" "V6"
"15" "Abies" 34 1000 1 "Abies" 4
"5" "Alnus" 44.5 2000 1 "Alnus" 4
"10" "Cyperaceae" 47.5 500 1 "Cyperaceae" 2
"6" "Corylus" 55.5 1500 1 "Corylus" 4
"13" "Fagus" 58.5 1000 1 "Fagus" 4
"3" "Picea" 59 1500 1 "Picea" 4
"14" "Carpinus" 60.5 1000 1 "Carpinus" 4
"12" "Fraxinus" 66.5 500 1 "Fraxinus" 4
"9" "Poaceae" 67 2000 1 "Poaceae" 2
"8" "Tilia" 72 500 1 "Tilia" 4
"11" "Juniperus" 93 1000 1 "Juniperus" 4
"1" "total_concetration" 114 20000 1 "arboreal pollen" 2
"4" "Betula" 118.5 8000 1 "Betula" 4
"7" "Quercus" 118.5 2000 1 "Quercus" 4
"2" "Pinus" 119 6000 1 "Pinus" 4
