"sites" "variable" "age" "mean" "lenghth" "se"
"1" "ABBO" "total_concetration" 200 2893.1350734529 8 351.003599857616
"2" "AKUV" "total_concetration" 200 2328.31427468752 2 101.645702442273
"3" "BACHALP" "total_concetration" 200 1752.27685948637 61 85.6762935138512
"4" "BRUN" "total_concetration" 200 396.740582420518 1 0
"5" "HOLT" "total_concetration" 200 2675.95540072315 7 343.664115222554
"6" "KLOT" "total_concetration" 200 4606.96695588311 7 949.115651857366
"7" "MNIVA" "total_concetration" 200 6346.73793219769 7 2018.21933668894
"8" "PRASILSKE" "total_concetration" 200 9484.54739314968 18 1226.04767577653
"9" "RIBNO" "total_concetration" 200 2997.84797422371 3 454.894550099442
"10" "ROUGE" "total_concetration" 200 8163.82616725155 16 881.306750892306
"11" "SAEGIST" "total_concetration" 200 1648.06237987296 65 79.5769654750838
"12" "SUMINKO" "total_concetration" 200 8104.94375079473 24 975.9244005089
"13" "SUOVAL" "total_concetration" 200 947.484883953808 2 64.670328762414
"14" "TOSACJQS" "total_concetration" 200 159.34667568 10 5.98730173232161
"15" "TSOULACC" "total_concetration" 200 419.98985755 6 18.9944045386134
"16" "VOULK" "total_concetration" 200 1184.80431848853 1 0
"17" "BACHALP" "Abies" 200 62.5546141367486 61 6.47314204873741
"18" "MNIVA" "Abies" 200 943.442874236957 7 458.028485084254
"19" "PRASILSKE" "Abies" 200 845.634444938082 18 111.590188186682
"20" "RIBNO" "Abies" 200 286.722401922511 3 45.4655019158214
"21" "SAEGIST" "Abies" 200 56.3028804903771 65 3.78575000155758
"22" "SUMINKO" "Abies" 200 0.978389281507917 24 0.541666359634429
"23" "TOSACJQS" "Abies" 200 0 10 0
"24" "TSOULACC" "Abies" 200 0 6 0
"25" "VOULK" "Abies" 200 0 1 0
"26" "ABBO" "Alnus" 200 117.007622183508 8 20.2099422566261
"27" "AKUV" "Alnus" 200 21.4395976124048 2 4.2893903807341
"28" "BACHALP" "Alnus" 200 163.82691052845 61 11.1393541804643
"29" "BRUN" "Alnus" 200 10.6866150146941 1 0
"30" "HOLT" "Alnus" 200 208.320211710252 7 45.3553926522408
"31" "KLOT" "Alnus" 200 442.151200335395 8 93.4282293793848
"32" "MNIVA" "Alnus" 200 159.136624136439 7 47.8447586224346
"33" "PRASILSKE" "Alnus" 200 697.467749450944 18 80.4585246301175
"34" "RIBNO" "Alnus" 200 70.8366166512264 3 11.6259074419858
"35" "ROUGE" "Alnus" 200 1825.60818631749 16 156.580679412581
"36" "SAEGIST" "Alnus" 200 133.42683313576 65 7.57815200471614
"37" "SUMINKO" "Alnus" 200 716.413407493671 24 68.6617155032851
"38" "SUOVAL" "Alnus" 200 4.11740896178723 2 0.55767285214451
"39" "TOSACJQS" "Alnus" 200 1.7307351 10 0.355461903404178
"40" "TSOULACC" "Alnus" 200 4.7414485 6 1.48838390925032
"41" "VOULK" "Alnus" 200 18.8064177537862 1 0
"42" "ABBO" "Betula" 200 635.610103393209 8 75.2139396989824
"43" "AKUV" "Betula" 200 766.097338294048 2 0.0547486127559864
"44" "BACHALP" "Betula" 200 29.0172977332486 61 3.40185962710639
"45" "BRUN" "Betula" 200 150.948437082554 1 0
"46" "HOLT" "Betula" 200 752.757047464071 7 140.954022189857
"47" "KLOT" "Betula" 200 947.927711788117 8 190.579116908657
"48" "MNIVA" "Betula" 200 628.82307072348 7 224.867879809868
"49" "PRASILSKE" "Betula" 200 1130.04726111281 18 223.954908543842
"50" "RIBNO" "Betula" 200 27.959326395058 3 3.82003302806147
"51" "ROUGE" "Betula" 200 3296.16761425553 16 668.862703563254
"52" "SAEGIST" "Betula" 200 38.2848546328393 65 4.92075183951294
"53" "SUMINKO" "Betula" 200 1073.76044273069 24 111.359223874228
"54" "SUOVAL" "Betula" 200 366.265697991277 2 3.9468574115665
"55" "TOSACJQS" "Betula" 200 61.878998 10 3.50580344176459
"56" "TSOULACC" "Betula" 200 220.793316666667 6 16.6584396668559
"57" "VOULK" "Betula" 200 6.26880591792873 1 0
"58" "ABBO" "Carpinus" 200 0.402361337728901 8 0.402361337728901
"59" "HOLT" "Carpinus" 200 0.605047453095944 7 0.393171236365898
"60" "KLOT" "Carpinus" 200 0 8 0
"61" "MNIVA" "Carpinus" 200 34.7095157998601 7 18.4138170687482
"62" "PRASILSKE" "Carpinus" 200 70.5542174623511 18 21.3708934592508
"63" "RIBNO" "Carpinus" 200 61.8549921808389 3 24.6309522530383
"64" "ROUGE" "Carpinus" 200 21.9628864198269 16 5.92133287897398
"65" "SUMINKO" "Carpinus" 200 66.3608920982728 24 12.9168161023099
"66" "TOSACJQS" "Carpinus" 200 0 10 0
"67" "TSOULACC" "Carpinus" 200 0 6 0
"68" "VOULK" "Carpinus" 200 81.4944769330734 1 0
"69" "ABBO" "Corylus" 200 5.22152006998053 8 1.55098867182356
"70" "AKUV" "Corylus" 200 0 2 0
"71" "BACHALP" "Corylus" 200 162.080815931735 61 12.309810357927
"72" "BRUN" "Corylus" 200 1.33582687683676 1 0
"73" "HOLT" "Corylus" 200 4.14979952557449 7 1.23147071161113
"74" "KLOT" "Corylus" 200 6.00775928085396 8 2.94280323234697
"75" "MNIVA" "Corylus" 200 138.240747667655 7 60.8391977636146
"76" "PRASILSKE" "Corylus" 200 869.61032126686 18 138.805714243685
"77" "RIBNO" "Corylus" 200 26.8131449126291 3 6.4752888764407
"78" "ROUGE" "Corylus" 200 88.1567922664596 16 13.485347157269
"79" "SAEGIST" "Corylus" 200 114.360854556784 65 8.08925518831168
"80" "SUMINKO" "Corylus" 200 197.180619738754 24 21.281081562047
"81" "SUOVAL" "Corylus" 200 0 2 0
"82" "TOSACJQS" "Corylus" 200 0.0616345 10 0.0616345
"83" "TSOULACC" "Corylus" 200 1.13686805 6 0.179515478023294
"84" "VOULK" "Corylus" 200 12.5376118358575 1 0
"85" "ABBO" "Cyperaceae" 200 40.160179017256 8 5.94679267064142
"86" "AKUV" "Cyperaceae" 200 57.1714431562722 2 0.00408571736985053
"87" "BACHALP" "Cyperaceae" 200 343.43112326663 61 20.4273686806853
"88" "BRUN" "Cyperaceae" 200 26.7165375367352 1 0
"89" "HOLT" "Cyperaceae" 200 31.4020288722617 7 4.51041001171658
"90" "KLOT" "Cyperaceae" 200 44.0600499201673 8 9.65622111145754
"91" "MNIVA" "Cyperaceae" 200 51.0692512450576 7 23.1192225614898
"92" "PRASILSKE" "Cyperaceae" 200 143.54742580098 18 32.3216502780319
"93" "RIBNO" "Cyperaceae" 200 16.5826229705236 3 1.87738123054853
"94" "ROUGE" "Cyperaceae" 200 560.270344152636 16 41.059685583773
"95" "SAEGIST" "Cyperaceae" 200 202.67922361526 65 10.0410663938346
"96" "SUMINKO" "Cyperaceae" 200 64.138324368811 24 15.2845727606095
"97" "SUOVAL" "Cyperaceae" 200 20.5870448089361 2 2.78836426072255
"98" "TOSACJQS" "Cyperaceae" 200 26.17139115 10 2.48904266013955
"99" "TSOULACC" "Cyperaceae" 200 30.7339116666667 6 3.88639432020343
"100" "VOULK" "Cyperaceae" 200 18.8064177537862 1 0
"101" "ABBO" "Fagus" 200 1.23866937718353 8 0.824917618253505
"102" "BACHALP" "Fagus" 200 55.96803933222 61 5.18468872565635
"103" "HOLT" "Fagus" 200 1.18411924956068 7 0.478127036693541
"104" "KLOT" "Fagus" 200 0 8 0
"105" "MNIVA" "Fagus" 200 1128.1210157665 7 451.867595326025
"106" "PRASILSKE" "Fagus" 200 1002.50381285419 18 134.203571182392
"107" "RIBNO" "Fagus" 200 351.244052852368 3 85.613527542384
"108" "ROUGE" "Fagus" 200 3.5729639522018 16 1.85484571335597
"109" "SAEGIST" "Fagus" 200 93.9736187219652 65 6.1692790210543
"110" "SUMINKO" "Fagus" 200 175.583735476516 24 22.8223308230756
"111" "TOSACJQS" "Fagus" 200 0 10 0
"112" "TSOULACC" "Fagus" 200 0 6 0
"113" "VOULK" "Fagus" 200 9.40320887689309 1 0
"114" "ABBO" "Fraxinus" 200 0.845850764030193 8 0.845850764030193
"115" "BACHALP" "Fraxinus" 200 10.7361317138186 61 1.93743653898134
"116" "HOLT" "Fraxinus" 200 0.605047453095944 7 0.393171236365898
"117" "KLOT" "Fraxinus" 200 1.0388823501656 8 0.570702131786013
"118" "MNIVA" "Fraxinus" 200 4.52796129824181 7 4.52796129824181
"119" "PRASILSKE" "Fraxinus" 200 40.5711530320677 18 16.7778404028387
"120" "RIBNO" "Fraxinus" 200 4.1223471932414 3 4.1223471932414
"121" "ROUGE" "Fraxinus" 200 8.57686936903596 16 2.64749804096997
"122" "SAEGIST" "Fraxinus" 200 7.58568150825807 65 1.3321532701534
"123" "SUMINKO" "Fraxinus" 200 5.21162659769616 24 1.55658196083958
"124" "TOSACJQS" "Fraxinus" 200 0 10 0
"125" "TSOULACC" "Fraxinus" 200 0 6 0
"126" "VOULK" "Fraxinus" 200 50.1504473434298 1 0
"127" "ABBO" "Juniperus" 200 67.1614520632675 8 11.5084406659753
"128" "BACHALP" "Juniperus" 200 26.5345770395743 61 3.30157642967516
"129" "HOLT" "Juniperus" 200 98.3603418561215 7 20.7215416276925
"130" "KLOT" "Juniperus" 200 113.886505191206 8 25.1331116349449
"131" "MNIVA" "Juniperus" 200 10.3134142214861 7 7.74411831364604
"132" "PRASILSKE" "Juniperus" 200 67.9954704969673 18 17.3294652211474
