"Group.1" "Group.2" "hr" "min" "max" "hr2" "ks"
"31" "Abies" 1.2 28 29 79 85 30
"78" "Abies" 2 85 91 253 258 27
"93" "Abies" 3 258 263 475 487 26
"108" "Abies" 4 487 499 693 733 20
"123" "Abies" 5 733 774 1026 1048 17
"138" "Abies" 6 1048 1070 1305 1505 9
"152" "Abies" 7 1505 1705 2222 3046 3
"166" "Abies" 8 3046 3870 3870 1935 1
"32" "Alnus" 1.2 25 26 67 68 91
"45" "Alnus" 1.3 68 69 126 128 63
"57" "Alnus" 1.4 128 130 187 190 48
"66" "Alnus" 1.5 190 193 262 269 24
"72" "Alnus" 1.6 269 277 350 356 15
"79" "Alnus" 2 356 363 1074 1102 114
"94" "Alnus" 3 1102 1131 2152 2196 24
"109" "Alnus" 4 2196 2239 3311 3508 16
"124" "Alnus" 5 3508 3704 4805 4880 24
"139" "Alnus" 6 4880 4956 6774 7125 12
"153" "Alnus" 7 7125 7476 10022 10337 6
"167" "Alnus" 8 10337 10651 13510 6813 5
"33" "Betula" 1.2 175 182 431 436 80
"46" "Betula" 1.3 436 440 754 760 71
"58" "Betula" 1.4 760 766 1196 1209 60
"67" "Betula" 1.5 1209 1223 1883 1932 26
"80" "Betula" 2 1932 1982 5520 5558 105
"95" "Betula" 3 5558 5595 11448 11943 40
"110" "Betula" 4 11943 12437 19728 21356 9
"125" "Betula" 5 21356 22985 27109 30105 4
"140" "Betula" 6 30105 33102 37090 40601 4
"154" "Betula" 7 40601 44111 54778 57742 7
"168" "Betula" 8 57742 60705 73865 36933 2
"34" "Carpinus" 1.2 8 8 20 20 25
"47" "Carpinus" 1.3 20 21 36 38 26
"59" "Carpinus" 1.4 38 39 54 55 28
"68" "Carpinus" 1.5 55 56 69 74 11
"73" "Carpinus" 1.6 74 79 102 108 12
"76" "Carpinus" 1.7 108 115 150 157 9
"81" "Carpinus" 2 157 165 508 539 46
"96" "Carpinus" 3 539 570 1001 1019 29
"111" "Carpinus" 4 1019 1037 1617 1707 16
"126" "Carpinus" 5 1707 1798 2403 2940 10
"141" "Carpinus" 6 2940 3477 4259 5029 5
"155" "Carpinus" 7 5029 5798 6729 9474 3
"169" "Carpinus" 8 9474 12218 13121 14030 2
"177" "Carpinus" 9 14030 14938 14938 7471 1
"35" "Corylus" 1.2 7 8 19 21 24
"48" "Corylus" 1.3 21 23 38 38 31
"60" "Corylus" 1.4 38 39 55 57 19
"69" "Corylus" 1.5 57 59 80 81 15
"74" "Corylus" 1.6 81 82 103 104 16
"82" "Corylus" 2 104 106 285 288 144
"97" "Corylus" 3 288 292 584 606 63
"112" "Corylus" 4 606 628 1142 1207 33
"127" "Corylus" 5 1207 1272 1995 2094 17
"142" "Corylus" 6 2094 2192 2713 2811 6
"156" "Corylus" 7 2811 2908 3439 3628 10
"170" "Corylus" 8 3628 3818 5047 5353 7
"178" "Corylus" 9 5353 5659 6632 3323 4
"36" "Cyperaceae" 1.2 48 48 101 104 87
"83" "Cyperaceae" 2 104 106 265 268 87
"98" "Cyperaceae" 3 268 270 481 498 53
"113" "Cyperaceae" 4 498 515 756 778 19
"128" "Cyperaceae" 5 778 799 1151 1236 19
"143" "Cyperaceae" 6 1236 1321 1942 2284 16
"157" "Cyperaceae" 7 2284 2626 2965 3676 2
"171" "Cyperaceae" 8 3676 4387 4662 2332 3
"37" "Fagus" 1.2 19 20 46 49 22
"49" "Fagus" 1.3 49 53 83 84 24
"61" "Fagus" 1.4 84 86 120 122 21
"70" "Fagus" 1.5 122 124 163 168 12
"84" "Fagus" 2 168 172 400 408 63
"99" "Fagus" 3 408 416 804 841 34
"114" "Fagus" 4 841 878 1275 1313 14
"129" "Fagus" 5 1313 1352 2010 2136 20
"144" "Fagus" 6 2136 2262 2911 3308 5
"158" "Fagus" 7 3308 3705 4837 6144 5
"172" "Fagus" 8 6144 7451 7451 3726 1
"38" "Fraxinus" 1.2 24 25 56 57 73
"50" "Fraxinus" 1.3 57 59 99 101 22
"85" "Fraxinus" 2 101 102 276 289 87
"100" "Fraxinus" 3 289 302 508 530 22
"115" "Fraxinus" 4 530 552 756 846 12
"130" "Fraxinus" 5 846 936 1430 1752 5
"145" "Fraxinus" 6 1752 2074 2704 2845 4
"159" "Fraxinus" 7 2845 2986 3539 1770 2
"39" "Juniperus" 1.2 14 15 33 34 64
"51" "Juniperus" 1.3 34 35 58 59 57
"62" "Juniperus" 1.4 59 60 86 92 29
"86" "Juniperus" 2 92 98 321 372 42
"101" "Juniperus" 3 372 423 796 874 10
"116" "Juniperus" 4 874 952 1411 1654 6
"131" "Juniperus" 5 1654 1897 2269 2437 2
"146" "Juniperus" 6 2437 2605 2970 3825 3
"160" "Juniperus" 7 3825 4680 5457 8280 3
"173" "Juniperus" 8 8280 11102 11102 5552 1
"40" "Picea" 1.2 10 10 26 27 47
"52" "Picea" 1.3 27 29 54 56 29
"63" "Picea" 1.4 56 58 92 95 20
"71" "Picea" 1.5 95 97 135 141 15
"75" "Picea" 1.6 141 146 182 186 14
"77" "Picea" 1.7 186 190 226 240 12
"87" "Picea" 2 240 254 696 704 59
"102" "Picea" 3 704 712 1183 1192 57
"117" "Picea" 4 1192 1202 1751 1798 42
"132" "Picea" 5 1798 1845 2708 2766 19
"147" "Picea" 6 2766 2824 4329 4803 17
"161" "Picea" 7 4803 5277 7243 3626 2
"41" "Pinus" 1.2 293 293 620 625 86
"53" "Pinus" 1.3 625 630 1079 1088 47
"88" "Pinus" 2 1088 1096 2819 2879 126
"103" "Pinus" 3 2879 2938 5315 5359 72
"118" "Pinus" 4 5359 5403 8636 8810 36
"133" "Pinus" 5 8810 8983 12836 13249 21
"148" "Pinus" 6 13249 13662 18252 19602 8
"162" "Pinus" 7 19602 20952 29155 30634 6
"174" "Pinus" 8 30634 32112 39658 43561 4
"179" "Pinus" 9 43561 47463 47463 23747 1
"42" "Poaceae" 1.2 54 56 130 138 59
"54" "Poaceae" 1.3 138 146 246 250 40
"64" "Poaceae" 1.4 250 255 356 363 15
"89" "Poaceae" 2 363 369 1029 1037 125
"104" "Poaceae" 3 1037 1045 1993 2020 51
"119" "Poaceae" 4 2020 2048 3348 3369 36
"134" "Poaceae" 5 3369 3391 5169 5309 25
"149" "Poaceae" 6 5309 5448 6995 7212 18
"163" "Poaceae" 7 7212 7429 9216 10256 6
"175" "Poaceae" 8 10256 11297 13324 15513 5
"180" "Poaceae" 9 15513 17702 17753 8877 2
"43" "Quercus" 1.2 39 40 110 113 54
"55" "Quercus" 1.3 113 115 218 219 52
"65" "Quercus" 1.4 219 220 342 348 38
"90" "Quercus" 2 348 354 1001 1015 84
"105" "Quercus" 3 1015 1029 1969 2137 34
"120" "Quercus" 4 2137 2304 3723 3964 28
"135" "Quercus" 5 3964 4205 6596 6787 13
"150" "Quercus" 6 6787 6978 10421 11693 7
"164" "Quercus" 7 11693 12965 15002 7502 2
"44" "Tilia" 1.2 7 7 17 18 49
"56" "Tilia" 1.3 18 19 39 40 25
"91" "Tilia" 2 40 41 120 122 70
"106" "Tilia" 3 122 124 255 271 40
"121" "Tilia" 4 271 286 491 547 13
"136" "Tilia" 5 547 604 908 949 11
"151" "Tilia" 6 949 991 1222 1505 12
"165" "Tilia" 7 1505 1789 1789 2842 1
"176" "Tilia" 8 2842 3896 3896 4294 1
"181" "Tilia" 9 4294 4692 4692 2612 2
"92" "total_concetration" 2 4822 4880 11617 11692 142
"107" "total_concetration" 3 11692 11766 24600 24869 72
"122" "total_concetration" 4 24869 25137 43491 46786 35
"137" "total_concetration" 5 46786 50081 86249 0 16
