"sites" "taxa" "age" "PAR" "lenght" "se" "V7"
"1" "ABBO" "Alnus" 200 117.007622183508 8 20.2099422566261 1
"2" "ABBO" "Alnus" 750 135.315532899441 4 13.4069714036008 1
"3" "ABBO" "Alnus" 1250 127.985077788377 5 22.8984262917666 1
"4" "ABBO" "Alnus" 1750 185.765054515667 5 17.9000701422757 1
"5" "ABBO" "Alnus" 2250 175.699768251291 6 27.4610425442584 1
"6" "ABBO" "Alnus" 2750 201.206321698223 8 12.6387637919096 1
"7" "ABBO" "Alnus" 3250 314.129050310649 8 41.7526795410325 1
"8" "ABBO" "Alnus" 3750 400.653448719227 6 18.1727073881307 2
"9" "ABBO" "Alnus" 4250 531.891295453399 6 23.2569291530114 2
"10" "ABBO" "Alnus" 4750 568.434596523093 6 49.7222197838264 2
"11" "ABBO" "Alnus" 5250 565.814267041504 6 50.4506805306639 2
"12" "ABBO" "Alnus" 5750 783.39442828096 5 131.443344245958 2
"13" "ABBO" "Alnus" 6250 913.269407799648 5 91.5926698958521 2
"14" "ABBO" "Alnus" 6750 1479.99833642517 5 156.636376820112 3
"15" "ABBO" "Alnus" 7250 1986.99506339008 5 269.837485890887 3
"16" "ABBO" "Alnus" 7750 2390.76939095073 4 336.743400018675 4
"17" "ABBO" "Alnus" 8250 2275.15329402459 5 454.574726710744 4
"18" "ABBO" "Alnus" 8750 1290.03557469671 5 428.583543627292 3
"19" "ABBO" "Alnus" 9250 66.9603252082107 4 36.5382152560312 1
"21" "ABBO" "Betula" 200 635.610103393209 8 75.2139396989824 1
"22" "ABBO" "Betula" 750 881.43437359066 4 75.3538351131283 1
"23" "ABBO" "Betula" 1250 1057.52143920706 5 118.478198604329 1
"24" "ABBO" "Betula" 1750 1495.25316406213 5 80.3654915899738 1
"25" "ABBO" "Betula" 2250 2177.78778655741 6 166.75773890719 2
"26" "ABBO" "Betula" 2750 2249.40109916748 8 160.645253599803 2
"27" "ABBO" "Betula" 3250 3202.28531905849 8 216.058935100862 2
"28" "ABBO" "Betula" 3750 4017.7845520091 6 368.060714445883 2
"29" "ABBO" "Betula" 4250 4091.71022803967 6 489.366191649249 2
"30" "ABBO" "Betula" 4750 3583.02124594791 6 148.082320007757 2
"31" "ABBO" "Betula" 5250 4506.64177704091 6 346.880909477714 2
"32" "ABBO" "Betula" 5750 3445.11096092167 5 396.76906132649 2
"33" "ABBO" "Betula" 6250 4710.39678789232 5 236.856551245797 2
"34" "ABBO" "Betula" 6750 4784.84184329432 5 248.151638068822 2
"36" "ABBO" "Betula" 7750 5663.10173656615 4 133.167101970343 3
"37" "ABBO" "Betula" 8250 5595.33355636908 5 751.798796988299 3
"38" "ABBO" "Betula" 8750 3585.21776830155 5 534.563170467216 2
"39" "ABBO" "Betula" 9250 2909.0512026116 4 490.103588858433 2
"40" "ABBO" "Betula" 9750 116.231955214795 1 0 1
"41" "ABBO" "Carpinus" 200 0.402361337728901 8 0.402361337728901 1.1
"42" "ABBO" "Carpinus" 750 0.827276401408765 4 0.827276401408765 1.1
"43" "ABBO" "Carpinus" 1250 2.06010038742751 5 1.28470979209488 1.1
"44" "ABBO" "Carpinus" 1750 5.61527590933213 5 1.80204571624663 1.1
"45" "ABBO" "Carpinus" 2250 3.31256604965683 6 3.31256604965683 1.1
"46" "ABBO" "Carpinus" 2750 1.30237674730038 8 0.857320530450056 1.1
"47" "ABBO" "Carpinus" 3250 3.35335726622485 8 2.64749367266157 1.1
"48" "ABBO" "Carpinus" 3750 2.26857746857643 6 1.44205311757429 1.1
"49" "ABBO" "Carpinus" 4250 0.91193953386716 6 0.91193953386716 1.1
"51" "ABBO" "Carpinus" 5250 1.24092061933349 6 1.24092061933349 1.1
"61" "ABBO" "Corylus" 200 5.22152006998053 8 1.55098867182356 1.1
"62" "ABBO" "Corylus" 750 3.72755568110458 4 1.37423354688168 1.1
"63" "ABBO" "Corylus" 1250 10.2349796758731 5 5.12060569192025 1.2
"64" "ABBO" "Corylus" 1750 6.29450592005721 5 2.01388654564363 1.1
"65" "ABBO" "Corylus" 2250 17.2305246985756 6 8.88890562671203 1.2
"66" "ABBO" "Corylus" 2750 17.8450621908424 8 2.15491478271732 1.2
"67" "ABBO" "Corylus" 3250 25.0123222151694 8 3.59449102163011 1.3
"68" "ABBO" "Corylus" 3750 36.5639663862078 6 4.66992103327492 1.3
"69" "ABBO" "Corylus" 4250 52.0234637449549 6 12.6929144452589 1.4
"70" "ABBO" "Corylus" 4750 41.0335556008028 6 9.48773694881975 1.4
"71" "ABBO" "Corylus" 5250 47.3293604292324 6 8.57570037014955 1.4
"72" "ABBO" "Corylus" 5750 44.1206900199873 5 4.91715724916839 1.4
"73" "ABBO" "Corylus" 6250 69.7580081821112 5 12.2001738612708 1.5
"74" "ABBO" "Corylus" 6750 72.448743757164 5 8.49543843690986 1.5
"75" "ABBO" "Corylus" 7250 88.7242444476195 5 12.4529280087085 1.6
"76" "ABBO" "Corylus" 7750 71.6204088626727 4 8.00775230139224 1.5
"77" "ABBO" "Corylus" 8250 59.3446418948635 5 18.254221603648 1.5
"78" "ABBO" "Corylus" 8750 99.7814288255067 5 36.0090329214353 1.6
"79" "ABBO" "Corylus" 9250 50.8606854772234 4 18.4590053174558 1.4
"80" "ABBO" "Corylus" 9750 3.05873566354725 1 0 1.1
"81" "ABBO" "Cyperaceae" 200 40.160179017256 8 5.94679267064142 1.1
"82" "ABBO" "Cyperaceae" 750 40.6572312578224 4 3.82584507949267 1.1
"83" "ABBO" "Cyperaceae" 1250 52.798695468305 5 13.6053737262145 1.2
"84" "ABBO" "Cyperaceae" 1750 46.0226773714685 5 7.20583894610527 1.1
"85" "ABBO" "Cyperaceae" 2250 45.4999388141449 6 5.11269020021224 1.1
